Experiment,Nodes,Config,Seed,Throughput,PDR,CollisionRate,Efficiency
OptimizedScalability,10,BEB,42,0.4086,0.08196589769307924,0.1916,0.33031224000000003
OptimizedScalability,10,BEB,43,0.3862,0.07721220360670158,0.1744,0.31884672
OptimizedScalability,10,BEB,44,0.4014,0.08069639338989185,0.1774,0.33019164
OptimizedScalability,10,BEB,45,0.3944,0.07905708787684414,0.1736,0.32593215999999997
OptimizedScalability,10,BEB,46,0.4008,0.07999680651470999,0.1814,0.32809488
OptimizedScalability,10,BEB,47,0.3958,0.07919167667066827,0.177,0.32574339999999996
OptimizedScalability,10,BEB,48,0.4092,0.0820730875686951,0.1766,0.33693528
OptimizedScalability,10,BEB,49,0.3972,0.07958643904784804,0.1714,0.32911992
OptimizedScalability,10,BEB,50,0.3984,0.07969275084013443,0.186,0.3242976
OptimizedScalability,10,BEB,51,0.3884,0.07798570395952133,0.1848,0.31662368
OptimizedScalability,10,RL (Standard eps=0.1),42,0.1264,0.025204386839481556,0.0072,0.12548992
OptimizedScalability,10,RL (Standard eps=0.1),43,0.1508,0.030258036036759098,0.0156,0.14844752
OptimizedScalability,10,RL (Standard eps=0.1),44,0.1262,0.02540564480412288,0.0094,0.12501372000000002
OptimizedScalability,10,RL (Standard eps=0.1),45,0.1612,0.032531482079431705,0.0132,0.15907216000000002
OptimizedScalability,10,RL (Standard eps=0.1),46,0.1146,0.022880645290101025,0.008,0.1136832
OptimizedScalability,10,RL (Standard eps=0.1),47,0.2232,0.04491307147456536,0.0216,0.21837888000000003
OptimizedScalability,10,RL (Standard eps=0.1),48,0.1386,0.027877227563457903,0.0086,0.13740803999999998
OptimizedScalability,10,RL (Standard eps=0.1),49,0.1272,0.025571951268545695,0.0058,0.12646224
OptimizedScalability,10,RL (Standard eps=0.1),50,0.202,0.040585067909668086,0.0224,0.19747520000000002
OptimizedScalability,10,RL (Standard eps=0.1),51,0.0614,0.012274599176362401,0.0016,0.061301760000000004
OptimizedScalability,10,RL (Optimized),42,0.0858,0.017120964201620306,0.0034,0.08550828
OptimizedScalability,10,RL (Optimized),43,0.0704,0.0141547370114203,0.0036,0.07014656
OptimizedScalability,10,RL (Optimized),44,0.0804,0.01623389734684812,0.0036,0.08011056
OptimizedScalability,10,RL (Optimized),45,0.0696,0.01400684242302274,0.0018,0.06947471999999999
OptimizedScalability,10,RL (Optimized),46,0.0794,0.0158407150267337,0.0036,0.07911415999999999
OptimizedScalability,10,RL (Optimized),47,0.0828,0.016689510602273642,0.0046,0.08241912
OptimizedScalability,10,RL (Optimized),48,0.0682,0.013743903913586715,0.0024,0.06803632
OptimizedScalability,10,RL (Optimized),49,0.0784,0.015671224114495882,0.0022,0.07822752
OptimizedScalability,10,RL (Optimized),50,0.0738,0.01481332798073063,0.0032,0.07356384
OptimizedScalability,10,RL (Optimized),51,0.0878,0.01759236996072774,0.0022,0.08760684
OptimizedScalability,50,BEB,42,0.37,0.014802249941991183,0.3404,0.244052
OptimizedScalability,50,BEB,43,0.3798,0.015188111843368098,0.3318,0.25378236000000004
OptimizedScalability,50,BEB,44,0.3882,0.015561862613045988,0.3266,0.26141388
OptimizedScalability,50,BEB,45,0.3772,0.01512308555849571,0.322,0.25574159999999996
OptimizedScalability,50,BEB,46,0.3746,0.015019205016558814,0.3298,0.25105692
OptimizedScalability,50,BEB,47,0.372,0.014913286455368381,0.323,0.251844
OptimizedScalability,50,BEB,48,0.3734,0.014942694327058522,0.3386,0.24696676
OptimizedScalability,50,BEB,49,0.3796,0.015193723983349344,0.3338,0.25288952
OptimizedScalability,50,BEB,50,0.3816,0.015255212997313547,0.3504,0.24788735999999997
OptimizedScalability,50,BEB,51,0.3774,0.015132924335378323,0.3334,0.25157484
OptimizedScalability,50,RL (Standard eps=0.1),42,0.3264,0.013094760491053518,0.097,0.29473920000000003
OptimizedScalability,50,RL (Standard eps=0.1),43,0.3392,0.013552171064197018,0.106,0.3032448
OptimizedScalability,50,RL (Standard eps=0.1),44,0.316,0.012632723551234489,0.0956,0.2857904
OptimizedScalability,50,RL (Standard eps=0.1),45,0.312,0.012480399372779928,0.1066,0.2787408
OptimizedScalability,50,RL (Standard eps=0.1),46,0.3332,0.013339311736352426,0.1062,0.29781416
OptimizedScalability,50,RL (Standard eps=0.1),47,0.3336,0.01335372150925874,0.1194,0.29376816
OptimizedScalability,50,RL (Standard eps=0.1),48,0.3154,0.012584789721490703,0.1014,0.28341844
OptimizedScalability,50,RL (Standard eps=0.1),49,0.3104,0.012409844717020358,0.11,0.276256
OptimizedScalability,50,RL (Standard eps=0.1),50,0.3248,0.013002506024868094,0.1,0.29231999999999997
OptimizedScalability,50,RL (Standard eps=0.1),51,0.3024,0.012116355477201699,0.0994,0.27234144
OptimizedScalability,50,RL (Optimized),42,0.262,0.01048511673696764,0.0646,0.2450748
OptimizedScalability,50,RL (Optimized),43,0.2628,0.01052336523445321,0.0582,0.24750503999999998
OptimizedScalability,50,RL (Optimized),44,0.268,0.010743722138481768,0.0614,0.2515448
OptimizedScalability,50,RL (Optimized),45,0.2752,0.011026789649562855,0.0652,0.25725696
OptimizedScalability,50,RL (Optimized),46,0.2686,0.010746149229845969,0.0606,0.25232284
OptimizedScalability,50,RL (Optimized),47,0.2678,0.010766088830283344,0.0578,0.25232116
OptimizedScalability,50,RL (Optimized),48,0.2636,0.010517831634892387,0.0656,0.24630784
OptimizedScalability,50,RL (Optimized),49,0.2782,0.011146547855631772,0.064,0.2603952
OptimizedScalability,50,RL (Optimized),50,0.2794,0.011168584060184037,0.058,0.26319479999999995
OptimizedScalability,50,RL (Optimized),51,0.2818,0.011329736336370142,0.0632,0.26399024
OptimizedScalability,100,BEB,42,0.3532,0.007073166824204169,0.4034,0.21071912
OptimizedScalability,100,BEB,43,0.348,0.0069586917659480016,0.4212,0.20142239999999997
OptimizedScalability,100,BEB,44,0.3582,0.007160391162853922,0.4124,0.21047832000000002
OptimizedScalability,100,BEB,45,0.3554,0.007101892372559599,0.4164,0.20741144
OptimizedScalability,100,BEB,46,0.3534,0.0070817385728312926,0.4252,0.20313431999999998
OptimizedScalability,100,BEB,47,0.3518,0.007045045838857092,0.4136,0.20629552
OptimizedScalability,100,BEB,48,0.3518,0.007026444036110889,0.4092,0.20784344
OptimizedScalability,100,BEB,49,0.3506,0.007005582886076354,0.4094,0.20706436000000003
OptimizedScalability,100,BEB,50,0.359,0.00717595276264187,0.412,0.21109200000000003
OptimizedScalability,100,BEB,51,0.3522,0.007061540867514907,0.4112,0.20737536
OptimizedScalability,100,RL (Standard eps=0.1),42,0.363,0.0072615684987957395,0.2122,0.2859714
OptimizedScalability,100,RL (Standard eps=0.1),43,0.3598,0.007206867956878973,0.2224,0.27978048000000005
OptimizedScalability,100,RL (Standard eps=0.1),44,0.3642,0.00728819800204918,0.224,0.2826192
OptimizedScalability,100,RL (Standard eps=0.1),45,0.3662,0.007309176989066174,0.1976,0.29383888
OptimizedScalability,100,RL (Standard eps=0.1),46,0.3618,0.007260482346472304,0.2134,0.28459188
OptimizedScalability,100,RL (Standard eps=0.1),47,0.3596,0.007200035239327089,0.2304,0.27674816
OptimizedScalability,100,RL (Standard eps=0.1),48,0.3498,0.006982342537995681,0.2088,0.27676176
OptimizedScalability,100,RL (Standard eps=0.1),49,0.3728,0.007460416566607431,0.2256,0.28869632
OptimizedScalability,100,RL (Standard eps=0.1),50,0.3704,0.00740462349168779,0.204,0.2948384
OptimizedScalability,100,RL (Standard eps=0.1),51,0.3804,0.007613268381720151,0.2194,0.29694024
OptimizedScalability,100,RL (Optimized),42,0.3632,0.0072741547199891045,0.1898,0.29426464
OptimizedScalability,100,RL (Optimized),43,0.3542,0.0070819320758338565,0.1744,0.29242752
OptimizedScalability,100,RL (Optimized),44,0.3526,0.0070580416836812316,0.1846,0.28751004
OptimizedScalability,100,RL (Optimized),45,0.357,0.007123558826229063,0.1976,0.2864568
OptimizedScalability,100,RL (Optimized),46,0.3686,0.00739293679700913,0.199,0.29524859999999997
OptimizedScalability,100,RL (Optimized),47,0.3694,0.007391843758754553,0.181,0.3025386
OptimizedScalability,100,RL (Optimized),48,0.3466,0.006923746893702706,0.1918,0.28012212000000003
OptimizedScalability,100,RL (Optimized),49,0.3554,0.007100899100899101,0.1836,0.29014856
OptimizedScalability,100,RL (Optimized),50,0.3584,0.0071555493441411945,0.187,0.2913792
OptimizedScalability,100,RL (Optimized),51,0.366,0.007324511899329987,0.1848,0.2983632
OptimizedScalability,200,BEB,42,0.315,0.0031505734043595934,0.511,0.154035
OptimizedScalability,200,BEB,43,0.3046,0.0030441187346220036,0.5164,0.14730456
OptimizedScalability,200,BEB,44,0.3142,0.0031472622224359126,0.5,0.1571
OptimizedScalability,200,BEB,45,0.3174,0.0031693157513195498,0.5132,0.15451032
OptimizedScalability,200,BEB,46,0.3094,0.0030964214015360013,0.5108,0.15135848
OptimizedScalability,200,BEB,47,0.3106,0.0031099558638588284,0.5044,0.15393336000000002
OptimizedScalability,200,BEB,48,0.3108,0.0031053418273957493,0.5152,0.15067584
OptimizedScalability,200,BEB,49,0.3122,0.00312268074440228,0.5104,0.15285312
OptimizedScalability,200,BEB,50,0.3188,0.0031808240609185676,0.5152,0.15455423999999998
OptimizedScalability,200,BEB,51,0.3198,0.0032012781087833943,0.5148,0.15516695999999996
OptimizedScalability,200,RL (Standard eps=0.1),42,0.3288,0.003286402808235198,0.4568,0.17860415999999998
OptimizedScalability,200,RL (Standard eps=0.1),43,0.3264,0.003260465655229731,0.4586,0.17671296
OptimizedScalability,200,RL (Standard eps=0.1),44,0.3152,0.003156425308282212,0.4598,0.17027103999999998
OptimizedScalability,200,RL (Standard eps=0.1),45,0.3198,0.0031978401079946,0.4574,0.17352347999999998
OptimizedScalability,200,RL (Standard eps=0.1),46,0.3226,0.003224155782892186,0.468,0.1716232
OptimizedScalability,200,RL (Standard eps=0.1),47,0.323,0.003231021002636833,0.477,0.16892900000000002
OptimizedScalability,200,RL (Standard eps=0.1),48,0.3332,0.0033301883775226277,0.4586,0.18039448
OptimizedScalability,200,RL (Standard eps=0.1),49,0.3288,0.003289460520471089,0.4576,0.17834112
OptimizedScalability,200,RL (Standard eps=0.1),50,0.326,0.003257335499561359,0.4534,0.1781916
OptimizedScalability,200,RL (Standard eps=0.1),51,0.3342,0.0033489926967508158,0.4616,0.17993328
OptimizedScalability,200,RL (Optimized),42,0.3202,0.003198871503669411,0.472,0.1690656
OptimizedScalability,200,RL (Optimized),43,0.3138,0.0031333876533742333,0.4966,0.15796692000000004
OptimizedScalability,200,RL (Optimized),44,0.3144,0.0031497830015909207,0.4844,0.16210464000000002
OptimizedScalability,200,RL (Optimized),45,0.326,0.003259804411735296,0.4632,0.17499679999999998
OptimizedScalability,200,RL (Optimized),46,0.3276,0.003281342024816401,0.464,0.17559360000000002
OptimizedScalability,200,RL (Optimized),47,0.3384,0.0033829918684232098,0.4546,0.18456335999999998
OptimizedScalability,200,RL (Optimized),48,0.3158,0.003157305392813581,0.4684,0.16787928000000005
OptimizedScalability,200,RL (Optimized),49,0.318,0.003180394368901744,0.4778,0.1660596
OptimizedScalability,200,RL (Optimized),50,0.327,0.003267928133563321,0.4622,0.17586060000000003
OptimizedScalability,200,RL (Optimized),51,0.3238,0.003244508484018942,0.4666,0.17271492
